threshold,flagged,precision,true_positives,prevented,revenue_preserved,intervention_cost,net
0.1,15210,0.00953320184089415,145,58,181.02759981155396,760500.0,-760318.9724001884
0.2,15113,0.008271024945411235,125,50,98.96317720413208,755650.0,-755551.0368227959
0.30000000000000004,15066,0.007765830346475508,117,46,69.15608048439026,753300.0,-753230.8439195156
0.4,15040,0.007313829787234043,110,44,58.05966663360596,752000.0,-751941.9403333664
0.5,15033,0.007117674449544336,107,42,51.390034675598145,751650.0,-751598.6099653244
0.6,15022,0.006790041272799894,102,40,0.11620289646089077,751100.0,-751099.8837971035
0.7000000000000001,15021,0.006723919845549564,101,40,0.06508221849799156,751050.0,-751049.9349177815
0.8,15021,0.006723919845549564,101,40,0.06508221849799156,751050.0,-751049.9349177815
0.9,15021,0.006723919845549564,101,40,0.06508221849799156,751050.0,-751049.9349177815
